title,year,suggested_by,notes
Magnolia,,crazy dating profile,Suggested by: crazy dating profile
Children of Men,,crazy dating profile,Suggested by: crazy dating profile
Breaking The Waves,,crazy dating profile,Suggested by: crazy dating profile
Full Metal Jacket,,crazy dating profile,Suggested by: crazy dating profile
a Clockwork Orange,,crazy dating profile,Suggested by: crazy dating profile
The Royal Tenenbaums,,crazy dating profile,(anything by Wes Anderson really) | Suggested by: crazy dating profile
The Usual Suspects,,crazy dating profile,Suggested by: crazy dating profile
American History x,,crazy dating profile,Suggested by: crazy dating profile
Requiem For a Dream,,crazy dating profile,Suggested by: crazy dating profile
Fight Club,,crazy dating profile,Suggested by: crazy dating profile
American Beauty,,crazy dating profile,Suggested by: crazy dating profile
The Green Mile,,crazy dating profile,Suggested by: crazy dating profile
Into The Wild,,crazy dating profile,Suggested by: crazy dating profile
This is England.,,crazy dating profile,Suggested by: crazy dating profile
Manchester by The Sea,,crazy dating profile,Suggested by: crazy dating profile
The Wire,,crazy dating profile,(greatest ever don't even argue) | Suggested by: crazy dating profile
Firefly,,crazy dating profile,Suggested by: crazy dating profile
oz,,crazy dating profile,Suggested by: crazy dating profile
Spooks,,crazy dating profile,(SO UNDERRATED) | Suggested by: crazy dating profile
Three Billboards,,Ash,(Ash)
Dopesic,,Mat,(Mat)
You Were Never Really Here,,Ash,(Ash)
Netflix: 14 Peaks: Nothing is Impossible,,,
24 (tanzanian Boys,,Tanzanian boys,Suggested by: Tanzanian boys
Prison Break,,Tanzanian boys,(tanzanian boys) | Suggested by: Tanzanian boys
Brothers Grimsby,,Ike,(ike funny) https://www.netflix.com/gb/title/80079256?source=35 | Suggested by: Ike
,,,https://www.bbc.co.uk/programmes/m0020y3c geoff norcoot podcast
Human Traffic,,,"(90s classic, danny dyer?)"
Apocalypse Now Francis Ford Coppola,1980,film of the year,(1st) | Suggested by: film of the year
Chariots of Fire Hugh Hudson,1981,film of the year,(2nd) | Suggested by: film of the year
Missing Costa-gavras,1982,film of the year,(3rd) | Suggested by: film of the year
The King of Comedy Martin Scorsese,1983,film of the year,(4th) | Suggested by: film of the year
"Paris, Texas Wim Wenders",1984,film of the year,(5th) | Suggested by: film of the year
The Purple Rose of Cairo Woody Allen,1985,film of the year,(6th) | Suggested by: film of the year
a Room With a View James Ivory,1986,film of the year,(7th) | Suggested by: film of the year
Hope And Glory John Boorman,1987,film of the year,(8th) | Suggested by: film of the year
House of Games David Mamet,1988,film of the year,(9th) | Suggested by: film of the year
"Distant Voices, Still Lives Terence Davies",1989,film of the year,(10th) | Suggested by: film of the year
Crimes And Misdemeanors Woody Allen,1990,film of the year,(11th) (2) | Suggested by: film of the year
Thelma & Louise Ridley Scott,1991,film of the year,(12th) | Suggested by: film of the year
Unforgiven Clint Eastwood,1992,film of the year,(13th) | Suggested by: film of the year
The Piano Jane Campion,1993,film of the year,(14th) | Suggested by: film of the year
Schindler's List Steven Spielberg,1994,film of the year,(15th) | Suggested by: film of the year
Babe Chris Noonan,1995,film of the year,(16th) | Suggested by: film of the year
Fargo Joel Coen,1996,film of the year,(17th) | Suggested by: film of the year
L.a. Confidential Curtis Hanson,1997,film of the year,(18th) | Suggested by: film of the year
Saving Private Ryan Steven Spielberg,1998,film of the year,(19th) (2) | Suggested by: film of the year
American Beauty Sam Mendes,1999,film of the year,(20th) | Suggested by: film of the year
Being John Malkovich Spike Jonze,2000,film of the year,(21st) | Suggested by: film of the year
Moulin Rouge! Baz Luhrmann,2001,film of the year,(22nd) | Suggested by: film of the year
About Schmidt Alexander Payne,2002,film of the year,(23rd) | Suggested by: film of the year
Master And Commander: The Far Side of The World Peter Weir,2003,film of the year,(24th) | Suggested by: film of the year
Sideways Alexander Payne,2004,film of the year,(25th) (2) | Suggested by: film of the year
Brokeback Mountain Ang Lee,2005,film of the year,(26th) | Suggested by: film of the year
United 93 Paul Greengrass,2006,film of the year,(27th) | Suggested by: film of the year
no Country For Old Men Joel And Ethan Coen,2007,film of the year,(28th) (2) | Suggested by: film of the year
The Wrestler Darren Aronofsky,2008,film of the year,(29th) | Suggested by: film of the year
a Prophet Jacques Audiard,2009,film of the year,(30th) | Suggested by: film of the year
The Social Network David Fincher,2010,film of the year,(31st) | Suggested by: film of the year
The Artist Michel Hazanavicius,2011,film of the year,(32nd) | Suggested by: film of the year
Amour Michael Haneke,2012,film of the year,(33rd) | Suggested by: film of the year
12 Years a Slave Steve Mcqueen,2013,film of the year,(34th) | Suggested by: film of the year
Boyhood Richard Linklater,2014,film of the year,(35th) | Suggested by: film of the year
Mad Max: Fury Road George Miller,2015,film of the year,(36th) | Suggested by: film of the year
la la Land Damien Chazelle,2016,film of the year,(37th) | Suggested by: film of the year
"Three Billboards Outside Ebbing, Missouri Martin Mcdonagh",2017,film of the year,(38th) | Suggested by: film of the year
Roma Alfonso Cuarón,2018,film of the year,(39th) | Suggested by: film of the year
Nomadland Chloé Zhao,2020,film of the year,(41st) | Suggested by: film of the year
